Reservoir,Site,Position,Depth_from_surface, Offset_start, Offset_end, Offset
CCR,51,1,0.1, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 18.94
CCR,51,2,1,2020-01-01 00:00:00, 2024-01-23 13:00:00, 18.065
CCR,51,3,2, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 17.01
CCR,51,4,3, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 16.075
CCR,51,5,4, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 15.08
CCR,51,6,5, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 14.085
CCR,51,7,6, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 13.09
CCR,51,8,7, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 12.095
CCR,51,9,8, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 11.1
CCR,51,10,10, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 9.11
CCR,51,11,11, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 8.115
CCR,51,12,15, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 4.135
CCR,51,13,19, 2020-01-01 00:00:00, 2024-01-23 13:00:00, 0.15
CCR,51,1,0.1, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 18.305
CCR,51,2,1,2024-01-23 13:10:00, 2025-03-13 12:50:00, 17.29
CCR,51,3,2, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 16.26
CCR,51,4,3, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 15.325
CCR,51,5,4, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 14.33
CCR,51,6,5, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 13.335
CCR,51,7,6, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 12.34
CCR,51,8,7, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 11.345
CCR,51,9,8, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 10.35
CCR,51,10,10, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 8.36
CCR,51,11,11, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 7.365
CCR,51,12,15, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 3.385
CCR,51,13,19, 2024-01-23 13:10:00, 2025-03-13 12:50:00, 0.15
CCR,51,1,0.1, 2025-03-13 13:00:00, current, 19.276
CCR,51,2,1, 2025-03-13 13:00:00, current, 18.156
CCR,51,3,2, 2025-03-13 13:00:00, current, 17.265
CCR,51,4,3, 2025-03-13 13:00:00, current, 16.128
CCR,51,5,4, 2025-03-13 13:00:00, current, 15.127
CCR,51,6,5, 2025-03-13 13:00:00, current, 14.126
CCR,51,7,6, 2025-03-13 13:00:00, current, 13.125
CCR,51,8,7, 2025-03-13 13:00:00, current, 12.124
CCR,51,9,8, 2025-03-13 13:00:00, current, 11.123
CCR,51,10,10, 2025-03-13 13:00:00, current, 9.119
CCR,51,11,11, 2025-03-13 13:00:00, current, 8.118
CCR,51,12,15, 2025-03-13 13:00:00, current, 4.114
CCR,51,13,19, 2025-03-13 13:00:00, current, 0.15
